date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:46	78420/78420	U-----	200	untouched ('OK')	text/html	date:Mon,%2001%20Dec%202025%2008:44:28%20GMT	https://www.12306.cn/index/	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/index.html	(from )
16:53:46	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:47%20GMT	https://www.12306.cn/robots.txt		(from )
16:53:46	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:48%20GMT	https://www.12306.cn/index/resources/login.html	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/resources/login.html	(from https://www.12306.cn/index/)
16:53:46	25214/25214	U-----	200	untouched ('')	image/x-icon	etag:%2269269e38-627e%22	https://www.12306.cn/index/images/favicon.ico	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/favicon.ico	(from https://www.12306.cn/index/)
16:53:47	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:48%20GMT	https://www.12306.cn/index/view/snow_checkedBaggage.html	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/view/snow_checkedBaggage.html	(from https://www.12306.cn/index/)
16:53:47	8757/8757	U-----	200	untouched ('OK')	text/css	etag:%2269269e38-2235%22	https://www.12306.cn/index/fonts/iconfont.css	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/fonts/iconfont.css	(from https://www.12306.cn/index/)
16:53:47	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:48%20GMT	https://www.12306.cn/index/gonggao/saleTicketMeans.html?linktypeid=means5	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/gonggao/saleTicketMeansaa59.html	(from https://www.12306.cn/index/)
16:53:48	160977/160977	U-----	200	untouched ('OK')	text/css	etag:%2269269e3e-274d1%22	https://www.12306.cn/index/css/index_y_v50003.css	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/css/index_y_v50003.css	(from https://www.12306.cn/index/)
16:53:48	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:50%20GMT	https://www.12306.cn/index/gonggao/saleTicketMeans.html?linktypeid=means2	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/gonggao/saleTicketMeans.6dc51.delayed	(from https://www.12306.cn/index/)
16:53:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:50%20GMT	https://www.12306.cn/index/gonggao/saleTicketMeans.html?linktypeid=means7	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/gonggao/saleTicketMeansa1ea.html	(from https://www.12306.cn/index/)
16:53:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:50%20GMT	https://www.12306.cn/index/gonggao/saleTicketMeans.html?linktypeid=means6	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/gonggao/saleTicketMeans9561.html	(from https://www.12306.cn/index/)
16:53:52	37575/37575	U-----	200	untouched ('')	image/gif	etag:%2269269e3a-92c7%22	https://www.12306.cn/index/images/loading4.gif	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/loading4.gif	(from https://www.12306.cn/index/)
16:53:52	3897/3897	U-----	200	untouched ('')	image/gif	etag:%2269269e3b-f39%22	https://www.12306.cn/index/images/loading.gif	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/loading.gif	(from https://www.12306.cn/index/)
16:53:52	9240/9240	U-----	200	untouched ('')	image/png	etag:%2269269e40-2418%22	https://www.12306.cn/index/images/link05.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/link05.png	(from https://www.12306.cn/index/)
16:53:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:54%20GMT	https://kyfw.12306.cn/otn/logsdk/handleIframeInner.js	D:/WinHTTrack/projects/12306_homepage/kyfw.12306.cn/otn/logsdk/handleIframeInner.17.delayed	(from https://www.12306.cn/index/)
16:53:54	17605/17605	U-----	200	untouched ('')	image/png	etag:%2269269e38-44c5%22	https://www.12306.cn/index/images/link02.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/link02.png	(from https://www.12306.cn/index/)
16:53:54	19177/19177	U-----	200	untouched ('')	image/png	etag:%2269269e3a-4ae9%22	https://www.12306.cn/index/images/link03.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/link03.png	(from https://www.12306.cn/index/)
16:53:54	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:55%20GMT	https://www.12306.cn/index/fonts/iconfont.woff2?t=1733902841285	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/fonts/iconfont.1a716f.delayed	(from https://www.12306.cn/index/fonts/iconfont.css)
16:53:55	29640/29640	U-----	200	untouched ('')	image/png	etag:%2269269e28-73c8%22	https://www.12306.cn/index/images/zgtlwb.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/zgtlwb.png	(from https://www.12306.cn/index/)
16:53:55	16372/16372	U-----	200	untouched ('')	image/png	etag:%2269269e22-3ff4%22	https://www.12306.cn/index/images/link04.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/link04.png	(from https://www.12306.cn/index/)
16:53:55	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:53:56%20GMT	https://www.12306.cn/index/images/fp-name.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/fp-name.21.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:53:56	0/-1	---M--	302	error ('')			https://www.12306.cn/index/images/fp-name.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/fp-name.22.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:53:56	159513/159513	U-----	200	untouched ('')	image/png	etag:%2269269e3a-26f19%22	https://www.12306.cn/index/images/zgtlwx.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/zgtlwx.png	(from https://www.12306.cn/index/)
16:53:56	32189/32189	U-----	200	untouched ('')	image/png	etag:%2269269e3a-7dbd%22	https://www.12306.cn/index/images/public.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/public.png	(from https://www.12306.cn/index/)
16:54:01	3830/3830	U-----	200	untouched ('')	image/png	etag:%2269269e41-ef6%22	https://www.12306.cn/index/images/gongan.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/gongan.png	(from https://www.12306.cn/index/)
16:54:01	4698/4698	U-----	200	untouched ('')	image/jpeg	etag:%2269269e3e-125a%22	https://www.12306.cn/index/images/footer-slh.jpg	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/footer-slh.jpg	(from https://www.12306.cn/index/)
16:54:01	37113/37113	U-----	200	untouched ('')	image/png	etag:%2269269e3f-90f9%22	https://www.12306.cn/index/images/download.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/download.png	(from https://www.12306.cn/index/)
16:54:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:02%20GMT	https://www.12306.cn/index/images/fp-name@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/fp-name@2x.23.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:01	66779/66779	U-----	200	untouched ('')	application/javascript	etag:%2269269e42-104db%22	https://www.12306.cn/index/script/core/common/qss.js	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/script/core/common/qss.js	(from https://www.12306.cn/index/)
16:54:01	0/-1	---M--	302	error ('')			https://www.12306.cn/index/images/fp-name.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/fp-name.24.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:01	165899/165899	U-----	200	untouched ('')	application/javascript	etag:%2269269e42-2880b%22	https://www.12306.cn/index/script/core/common/station_name_new_v10093.js	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/script/core/common/station_name_new_v10093.js	(from https://www.12306.cn/index/)
16:54:01	0/-1	---M--	302	error ('')			https://www.12306.cn/index/images/fp-name@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/fp-name@2x.25.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:01	15825/15825	U-----	200	untouched ('')	application/javascript	etag:%2269269e42-3dd1%22	https://www.12306.cn/index/script/core/lib/require.js	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/script/core/lib/require.js	(from https://www.12306.cn/index/)
16:54:02	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:03%20GMT	https://www.12306.cn/index/images/select.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/select.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:02	8495/8495	U-----	200	untouched ('')	text/javascript	date:Tue,%2019%20Aug%202025%2008:33:47%20GMT	https://kyfw.12306.cn/otn/resources/route/www.12306.cn/route.js	D:/WinHTTrack/projects/12306_homepage/kyfw.12306.cn/otn/resources/route/www.12306.cn/route.js	(from https://www.12306.cn/index/)
16:54:02	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:03%20GMT	https://www.12306.cn/index/images/select.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/select.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:02	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:04%20GMT	https://www.12306.cn/index/images/select@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/select@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:02	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:04%20GMT	https://www.12306.cn/index/images/select.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/select.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:04%20GMT	https://www.12306.cn/index/images/select@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/select@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:04%20GMT	https://www.12306.cn/index/images/center/ico-invoice.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-invoice.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:03	27976/27976	U-----	200	untouched ('')	font/woff	etag:%2269269e25-6d48%22	https://www.12306.cn/index/fonts/iconfont.woff?t=1733902841285	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/fonts/iconfont716f.woff	(from https://www.12306.cn/index/fonts/iconfont.css)
16:54:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:04%20GMT	https://www.12306.cn/index/images/center/ico-invoice.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-invoice.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:05%20GMT	https://www.12306.cn/index/images/center/ico-invoice@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-invoice@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:03	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:05%20GMT	https://www.12306.cn/index/images/center/ico-invoice.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-invoice.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:05%20GMT	https://www.12306.cn/index/images/center/ico-invoice@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-invoice@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:05%20GMT	https://www.12306.cn/index/images/center/ico-wait-bg.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-wait-bg.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:04	44740/44740	U-----	200	untouched ('')	application/octet-stream	etag:%2269269e25-aec4%22	https://www.12306.cn/index/fonts/iconfont.ttf?t=1733902841285	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/fonts/iconfont716f.ttf	(from https://www.12306.cn/index/fonts/iconfont.css)
16:54:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:06%20GMT	https://www.12306.cn/index/images/center/ico-wait-bg.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-wait-bg.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:06%20GMT	https://www.12306.cn/index/images/center/ico-wait-bg@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-wait-bg@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:06%20GMT	https://www.12306.cn/index/images/center/ico-wait-bg.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-wait-bg.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	666/666	U-----	200	untouched ('')	image/png	etag:%2269269e41-29a%22	https://www.12306.cn/index/images/line01.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/line01.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:06%20GMT	https://www.12306.cn/index/images/center/ico-wait-bg@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/center/ico-wait-bg@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	1893/1893	U-----	200	untouched ('')	image/png	etag:%2269269e40-765%22	https://www.12306.cn/index/images/line01@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/line01@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:07%20GMT	https://www.12306.cn/index/images/error@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/error@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	9328/9328	U-----	200	untouched ('')	image/png	etag:%2269269e24-2470%22	https://www.12306.cn/index/images/service.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/service.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:07%20GMT	https://www.12306.cn/index/images/error@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/error@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:06	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:07%20GMT	https://www.12306.cn/index/images/ticket.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/ticket.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	19377/19377	U-----	200	untouched ('')	image/png	etag:%2269269e3f-4bb1%22	https://www.12306.cn/index/images/service@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/service@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:08%20GMT	https://www.12306.cn/index/images/ticket.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/ticket.3e.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	2595/2595	U-----	200	untouched ('')	image/png	etag:%2269269e3b-a23%22	https://www.12306.cn/index/images/check.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/check.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:09%20GMT	https://www.12306.cn/index/images/ticket@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/ticket@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	0/-1	---M--	302	error ('')			https://www.12306.cn/index/images/ticket.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/ticket.40.delayed	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	2673/2673	U-----	200	untouched ('')	image/png	etag:%2269269e39-a71%22	https://www.12306.cn/index/images/check@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/check@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:07	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:09%20GMT	https://www.12306.cn/index/images/ticket@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/ticket@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:08	4937/4937	U-----	200	untouched ('')	image/png	etag:%2269269e41-1349%22	https://www.12306.cn/index/images/bg-train.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/bg-train.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:08	11269/11269	U-----	200	untouched ('')	image/png	etag:%2269269e3a-2c05%22	https://www.12306.cn/index/images/bg-train@2x.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/bg-train@2x.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
16:54:08	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Dec%202025%2008:54:10%20GMT	https://www.12306.cn/index/images/buySuccess.png	D:/WinHTTrack/projects/12306_homepage/www.12306.cn/index/images/buySuccess.png	(from https://www.12306.cn/index/css/index_y_v50003.css)
